Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,12.36,12.36,2,12.39,,3,12.47,12.47,4,12.60,12.60,5,12.69,12.69
2,9.12,21.48,5,9.18,,1,8.96,21.43,3,8.89,21.49,4,8.87,21.56
2,8.79,30.27,5,8.89,,1,8.77,30.20,2,8.78,30.27,4,8.81,30.37
2,8.81,39.08,3,8.71,,1,8.81,39.01,4,8.96,39.23,5,9.13,39.50
2,8.98,48.06,3,8.94,,1,8.94,47.95,4,9.02,48.25,5,8.88,48.38
1,8.86,56.92,3,8.98,,2,8.98,56.93,4,8.99,57.24,5,8.99,57.37
1,8.71,1:05.63,3,8.79,,2,8.85,1:05.78,4,8.80,1:06.04,5,8.87,1:06.24
1,8.88,1:14.51,3,8.84,,2,8.82,1:14.60,4,8.88,1:14.92,5,8.89,1:15.13
1,9.17,1:23.68,3,9.16,,2,9.16,1:23.76,4,9.09,1:24.01,4,9.02,1:24.150
