MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,NOGRADI Bence POSITION,NOGRADI Bence LAP TIME,NOGRADI Bence ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,KHALIL Khairil Ridhwan POSITION,KHALIL Khairil Ridhwan LAP TIME,KHALIL Khairil Ridhwan ELAPSED TIME
1,7.05,7.05,3,7.33,7.33,2,7.18,7.18,4,7.42,7.42,5,7.79,7.79
1,9.11,16.16,3,9.01,16.34,1,8.98,16.16,4,9.01,16.43,5,9.36,17.15
2,8.75,24.91,3,8.68,25.02,1,8.60,24.76,4,8.69,25.12,5,8.99,26.14
2,8.67,33.58,3,8.68,33.70,1,8.65,33.41,4,8.69,33.81,5,9.19,35.33
3,8.92,42.509,2,8.71,42.41,1,8.76,42.17,4,8.89,42.703,5,9.45,44.781
