SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,9.651,9.651,3,9.990,9.990,2,9.795,9.795,5,10.136,10.136,4,10.078,10.078
3,13.941,23.592,4,13.896,23.885,2,13.640,23.434,5,13.949,24.085,1,12.990,23.068
3,12.695,36.287,4,12.683,36.568,2,12.832,36.266,5,12.531,36.616,1,12.843,35.911
3,13.148,49.434,4,13.050,49.618,2,12.950,49.215,5,13.176,49.791,1,13.177,49.087
4,12.567,1:02.001,5,12.528,1:02.145,2,12.717,1:01.932,3,12.182,1:01.972,1,12.552,1:01.638
4,11.463,1:13.463,5,11.620,1:13.765,3,11.520,1:13.451,1,11.287,1:13.258,2,11.692,1:13.330
4,11.256,1:24.718,5,11.110,1:24.874,2,10.984,1:24.435,3,11.232,1:24.490,1,11.085,1:24.415
4,10.660,1:35.378,5,10.688,1:35.562,2,10.750,1:35.184,1,10.655,1:35.144,3,10.804,1:35.218
1,9.755,1:45.132,5,9.886,1:45.448,3,9.979,1:45.163,2,10.000,1:45.144,4,9.983,1:45.201
1,9.114,1:54.246,4,9.304,1:54.752,3,9.538,1:54.701,2,9.463,1:54.607,5,9.636,1:54.837
1,9.359,2:03.605,2,9.056,2:03.807,3,9.293,2:03.993,4,9.394,2:04.000,5,9.534,2:04.370
1,9.531,2:13.135,2,9.480,2:13.287,4,9.523,2:13.515,3,9.497,2:13.497,5,9.359,2:13.728
2,9.495,2:22.629,1,9.284,2:22.571,3,9.678,2:23.193,4,9.724,2:23.220,5,9.693,2:23.421
2,9.81,2:32.433,1,9.75,2:32.317,3,9.69,2:32.879,4,10.06,2:33.278,5,10.00,2:33.415
