Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,7.56,7.56,3,7.74,7.74,1,7.29,7.29,4,7.93,7.93
2,9.67,17.23,3,9.69,17.43,1,9.89,17.18,4,9.59,17.52
1,8.97,26.20,4,9.32,26.75,2,9.37,26.55,3,9.03,26.55
1,9.18,35.38,3,9.41,36.16,4,27.19,53.74,2,9.16,35.71
1,9.47,44.846,3,9.59,45.742,4,17.80,1:11.531,2,9.42,45.121
