Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
1,12.91,12.91,4,13.19,13.19,2,12.94,12.94,3,13.06,13.06
2,9.64,22.55,4,9.63,22.82,1,9.60,22.54,3,9.64,22.70
2,9.44,31.99,4,9.36,32.18,1,9.32,31.86,3,9.40,32.10
2,9.33,41.32,4,9.32,41.50,1,9.37,41.23,3,9.31,41.41
2,9.30,50.62,4,9.35,50.85,1,9.30,50.53,3,9.32,50.73
4,9.31,59.93,3,9.07,59.92,1,9.19,59.72,2,9.05,59.78
4,9.38,1:09.31,3,9.04,1:08.96,2,9.01,1:08.73,1,8.87,1:08.65
4,9.53,1:18.84,3,9.00,1:17.96,2,9.06,1:17.79,1,9.06,1:17.71
4,10.31,1:29.15,3,9.23,1:27.19,2,9.33,1:27.12,1,9.32,1:27.03
