JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
3,13.88,13.88,1,13.43,13.43,4,14.07,14.07,2,13.66,13.66
3,9.60,23.48,1,9.77,23.20,4,9.54,23.61,2,9.69,23.35
3,9.57,33.05,1,9.65,32.85,4,9.53,33.14,2,9.59,32.94
3,9.69,42.74,1,9.71,42.56,4,9.71,42.85,2,9.71,42.65
3,9.64,52.38,2,9.63,52.19,4,9.68,52.53,1,9.50,52.15
4,9.46,1:01.84,2,9.46,1:01.65,3,9.31,1:01.84,1,9.36,1:01.51
4,9.43,1:11.27,2,9.40,1:11.05,3,9.22,1:11.06,1,9.27,1:10.78
4,9.24,1:20.51,3,9.42,1:20.47,2,9.01,1:20.07,1,9.24,1:20.02
4,51.03,2:11.536,3,21.71,1:42.180,1,9.27,1:29.337,2,9.39,1:29.403
