Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Ariff Rasydan MOHAMAD FADZLI POSITION,Ariff Rasydan MOHAMAD FADZLI LAP TIME,Ariff Rasydan MOHAMAD FADZLI ELAPSED TIME
1,13.37,13.37,4,13.57,13.57,3,13.54,13.54,2,13.45,13.45,5,13.76,13.76
3,10.30,23.67,4,10.20,23.77,1,9.93,23.47,2,10.14,23.59,5,10.16,23.92
3,9.92,33.59,4,9.91,33.68,1,9.84,33.31,2,9.90,33.49,5,9.97,33.89
3,9.52,43.11,4,9.55,43.23,1,9.71,43.02,2,9.61,43.10,5,9.88,43.77
4,9.32,52.43,3,9.05,52.28,2,9.16,52.18,1,8.97,52.07,5,10.09,53.86
4,8.98,1:01.41,3,9.00,1:01.28,2,9.00,1:01.18,1,9.02,1:01.09,5,10.32,1:04.18
4,8.95,1:10.36,3,8.87,1:10.15,2,8.89,1:10.07,1,8.89,1:09.98,5,10.69,1:14.87
4,9.31,1:19.67,3,8.88,1:19.03,2,8.84,1:18.91,1,8.83,1:18.81,5,11.39,1:26.26
4,9.88,1:29.55,3,8.98,1:28.01,2,8.99,1:27.90,1,9.05,1:27.86,5,11.26,1:37.52
