KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME
2,7.04,7.04,1,6.94,6.94,3,7.16,7.16,4,7.29,7.29
2,9.16,16.20,1,9.14,16.08,3,9.15,16.31,4,9.11,16.40
3,8.67,24.87,1,8.58,24.66,2,8.46,24.77,4,8.60,25.00
3,8.76,33.63,1,8.81,33.47,2,8.79,33.56,4,8.78,33.78
3,9.12,42.75,2,9.12,42.59,1,8.92,42.48,4,9.10,42.88
