Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
1,6.99,6.99,3,7.33,7.33,5,7.64,7.64,2,7.10,7.10,4,7.44,7.44
1,8.98,15.97,3,9.36,16.69,5,9.55,17.19,2,9.00,16.10,4,9.40,16.84
1,8.49,24.46,3,9.02,25.71,5,8.93,26.12,2,8.44,24.54,4,9.03,25.87
2,8.77,33.23,3,9.38,35.09,5,9.22,35.34,1,8.56,33.10,4,9.46,35.33
2,8.96,42.19,3,9.67,44.76,4,9.48,44.82,1,9.01,42.11,5,10.28,45.61
