Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,12.35,12.35,4,13.17,13.17,3,12.67,12.67,2,12.56,12.56
1,10.29,22.64,4,9.98,23.15,3,10.31,22.98,2,10.17,22.73
2,9.47,32.11,1,8.87,32.02,4,9.24,32.22,3,9.48,32.21
1,9.01,41.12,2,9.19,41.21,4,11.17,43.39,3,9.14,41.35
1,8.55,49.67,2,8.94,50.15,4,7.08,50.47,3,9.09,50.44
1,9.29,58.96,3,9.14,59.29,2,8.74,59.21,4,8.89,59.33
1,8.89,1:07.85,2,8.94,1:08.23,4,9.12,1:08.33,3,8.94,1:08.27
1,8.99,1:16.84,4,9.06,1:17.29,3,8.96,1:17.29,2,8.90,1:17.17
1,9.65,1:26.486,3,9.25,1:26.535,2,9.23,1:26.519,4,9.45,1:26.619
