KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,VIGANTS Endijs POSITION,VIGANTS Endijs LAP TIME,VIGANTS Endijs ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,ROES Sven POSITION,ROES Sven LAP TIME,ROES Sven ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,Lubomir KALCHEV POSITION,Lubomir KALCHEV LAP TIME,Lubomir KALCHEV ELAPSED TIME
1,8.39,8.39,3,8.65,8.65,4,8.79,8.79,2,8.51,8.51,5,9.05,9.05,6,9.12,9.12,7,9.34,9.34
1,12.40,20.79,3,12.40,21.05,4,12.39,21.18,2,12.40,20.91,5,12.44,21.49,6,12.50,21.62,7,12.42,21.76
1,12.41,33.20,3,12.42,33.47,4,12.43,33.61,2,12.39,33.30,5,12.32,33.81,6,12.30,33.92,7,12.30,34.06
2,11.71,44.91,4,11.69,45.16,1,11.10,44.71,3,11.71,45.01,5,11.59,45.40,6,11.57,45.49,7,11.63,45.69
3,10.44,55.35,4,10.34,55.50,1,10.41,55.12,2,10.22,55.23,5,10.28,55.68,6,10.26,55.75,7,10.18,55.87
3,10.15,1:05.50,4,10.03,1:05.53,1,10.14,1:05.26,2,10.15,1:05.38,5,10.08,1:05.76,6,10.12,1:05.87,7,10.15,1:06.02
2,9.54,1:15.04,1,9.47,1:15.00,3,9.80,1:15.06,7,17.40,1:22.78,5,9.49,1:15.25,4,9.32,1:15.19,6,9.46,1:15.48
3,9.50,1:24.54,1,9.17,1:24.17,5,9.64,1:24.70,7,17.13,1:39.91,4,9.42,1:24.67,2,9.19,1:24.38,6,9.38,1:24.86
4,9.26,1:33.80,1,9.31,1:33.48,5,9.43,1:34.13,7,11.44,1:51.35,3,9.00,1:33.67,2,9.11,1:33.49,6,9.43,1:34.29
4,9.31,1:43.11,1,9.23,1:42.71,6,9.61,1:43.74,7,10.31,2:01.66,3,9.26,1:42.93,2,9.30,1:42.79,5,9.43,1:43.72
4,9.47,1:52.58,2,9.24,1:51.95,6,9.87,1:53.61,7,9.10,2:10.76,3,9.17,1:52.10,1,9.03,1:51.82,5,9.78,1:53.50
4,9.81,2:02.39,2,9.28,2:01.23,6,10.30,2:03.91,7,9.21,2:19.97,3,9.25,2:01.35,1,9.18,2:01.00,5,10.24,2:03.74
4,10.27,2:12.66,3,9.46,2:10.69,6,10.80,2:14.71,7,9.97,2:29.94,2,9.06,2:10.41,1,9.27,2:10.27,5,10.59,2:14.33
4,10.57,2:23.239,3,9.66,2:20.357,6,11.32,2:26.034,7,12.93,2:42.875,1,9.18,2:19.598,2,9.53,2:19.804,5,11.09,2:25.420
