ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.88,6.88,2,6.95,6.95,4,7.33,7.33,3,7.18,7.18
2,9.20,16.08,1,9.02,15.97,4,18.31,25.64,3,9.04,16.22
2,8.68,24.76,1,8.66,24.63,4,9.48,35.12,3,8.64,24.86
2,8.87,33.63,1,8.90,33.53,4,8.96,44.08,3,8.82,33.68
2,,42.883,1,9.17,42.690,4,9.34,53.402,3,,42.891
