Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
1,7.39,7.39,3,7.83,7.83,4,7.88,7.88,2,7.67,7.67
1,9.77,17.17,4,10.02,17.85,3,9.77,17.66,2,9.58,17.25
1,9.22,26.39,4,9.56,27.42,3,9.13,26.80,2,9.35,26.60
1,9.55,35.95,4,9.73,37.15,3,9.24,36.04,2,9.38,35.99
2,10.07,46.011,4,10.30,47.446,1,9.67,45.705,3,10.12,46.102
