XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME
1,7.55,7.55,3,7.87,7.87,2,7.70,7.70,4,8.01,8.01
1,9.64,17.19,3,9.79,17.66,2,9.72,17.42,4,9.80,17.81
1,9.28,26.47,3,9.28,26.94,2,9.43,26.85,4,9.19,27.00
1,9.36,35.83,2,9.61,36.55,3,9.73,36.58,4,9.67,36.67
1,9.55,45.379,3,26.09,1:02.636,0,,PEN,2,10.08,46.742
