CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
2,12.702,12.702,3,12.704,12.704,1,12.291,12.291,4,12.728,12.728
3,9.634,22.336,2,9.351,22.054,1,9.360,21.650,4,9.730,22.458
3,9.251,31.587,2,9.213,31.268,1,9.362,31.012,4,9.283,31.741
3,9.179,40.766,2,9.316,40.583,1,9.512,40.523,4,9.060,40.801
2,9.679,50.444,4,13.534,54.117,1,9.765,50.288,3,9.653,50.454
2,9.607,1:00.051,4,10.015,1:04.132,1,9.655,59.943,3,9.700,1:00.154
2,9.336,1:09.387,4,9.725,1:13.857,1,9.437,1:09.380,3,9.432,1:09.586
3,9.595,1:18.982,4,9.659,1:23.516,1,9.320,1:18.700,2,9.379,1:18.965
1,9.418,1:28.400,4,9.647,1:33.163,2,9.724,1:28.424,3,9.632,1:28.597
2,9.538,1:37.938,4,9.719,1:42.881,3,9.751,1:38.175,1,9.299,1:37.895
1,9.531,1:47.469,4,9.482,1:52.363,2,9.804,1:47.979,3,10.243,1:48.138
1,9.273,1:56.741,4,9.561,2:01.924,2,9.520,1:57.500,3,9.500,1:57.638
1,9.548,2:06.290,4,9.628,2:11.552,2,9.266,2:06.765,3,9.365,2:07.002
1,9.381,2:15.670,4,9.735,2:21.287,2,9.232,2:15.997,3,9.047,2:16.049
1,9.435,2:25.106,4,9.504,2:30.791,2,9.351,2:25.348,3,9.700,2:25.749
1,9.458,2:34.564,4,9.536,2:40.327,3,9.735,2:35.083,2,9.328,2:35.077
1,9.591,2:44.155,4,9.703,2:50.030,2,9.617,2:44.700,3,9.820,2:44.897
1,9.468,2:53.622,4,9.716,2:59.745,2,9.481,2:54.181,3,9.487,2:54.384
1,9.697,3:03.319,4,9.717,3:09.463,2,9.393,3:03.574,3,9.587,3:03.970
1,9.324,3:12.644,4,10.002,3:19.465,2,9.306,3:12.880,3,9.363,3:13.333
1,9.439,3:22.082,4,9.814,3:29.279,2,9.458,3:22.338,3,9.529,3:22.862
1,9.432,3:31.515,4,9.890,3:39.168,3,9.921,3:32.258,2,8.930,3:31.793
1,9.642,3:41.156,3,9.921,3:49.090,2,9.775,3:42.033,4,20.073,3:51.866
1,9.415,3:50.571,3,9.948,3:59.038,2,9.955,3:51.988,0,,
1,9.713,4:00.284,4,10.302,4:09.340,2,9.640,4:01.628,3,,4:01.734
1,9.441,4:09.725,4,10.672,4:20.012,2,9.242,4:10.870,3,9.733,4:11.467
1,9.556,4:19.281,4,10.825,4:30.837,2,9.922,4:20.792,3,9.395,4:20.862
