Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
1,12.82,12.82,2,13.00,13.00,3,13.12,13.12,4,13.28,13.28
1,9.83,22.65,2,9.83,22.83,3,9.80,22.92,4,9.79,23.07
1,9.85,32.50,2,9.74,32.57,3,9.74,32.66,4,9.72,32.79
1,9.74,42.24,2,9.79,42.36,3,9.79,42.45,4,9.78,42.57
2,9.69,51.93,1,9.50,51.86,3,9.58,52.03,4,9.63,52.20
3,9.69,1:01.62,1,8.93,1:00.79,2,9.10,1:01.13,4,9.46,1:01.66
4,9.85,1:11.47,1,8.89,1:09.68,2,8.84,1:09.97,3,9.22,1:10.88
4,9.96,1:21.43,1,8.80,1:18.48,2,8.97,1:18.94,3,9.60,1:20.48
4,10.14,1:31.565,1,9.19,1:27.670,2,9.62,1:28.554,3,9.86,1:30.331
