Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,6.60,6.60,3,6.93,6.93,2,6.77,6.77,4,6.99,6.99
1,8.77,15.37,3,8.91,15.84,2,8.76,15.53,4,8.92,15.91
1,8.44,23.81,3,8.20,24.04,2,8.34,23.87,4,8.26,24.17
1,8.56,32.37,2,8.41,32.45,3,8.59,32.46,4,8.41,32.58
4,9.28,41.643,3,8.97,41.418,1,8.75,41.206,2,8.80,41.378
