KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
2,13.29,13.29,1,13.22,13.22,3,13.35,13.35,4,13.39,,5,13.59,13.59
5,10.23,23.52,1,9.99,23.21,2,9.88,23.23,4,10.01,,3,9.78,23.37
5,9.54,33.06,2,9.59,32.80,3,9.65,32.88,4,9.55,,1,9.33,32.70
5,15.83,48.89,2,9.66,42.46,4,9.76,42.64,3,9.61,,1,9.67,42.37
5,24.19,1:13.08,2,9.61,52.07,4,9.66,52.30,3,9.62,,1,9.65,52.02
5,12.22,1:25.30,1,9.14,1:01.21,4,9.33,1:01.63,3,9.24,,2,9.31,1:01.33
4,10.46,1:35.76,1,8.98,1:10.19,2,8.84,1:10.47,3,31.17,,5,44.50,1:45.83
3,10.62,1:46.38,1,8.98,1:19.17,2,8.79,1:19.26,4,21.06,,5,15.80,2:01.63
3,10.56,1:56.945,2,9.09,1:28.263,1,8.90,1:28.16,4,13.03,,4,10.92,2:12.553
