PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
1,13.74,13.74,3,13.97,,4,14.10,14.10,5,14.23,14.23,2,13.87,13.87,6,14.36,14.36
1,10.90,24.64,3,10.84,,4,10.83,24.93,6,10.84,25.07,2,10.80,24.67,5,10.65,25.01
2,10.46,35.10,2,10.29,,4,10.25,35.18,6,10.28,35.35,1,10.34,35.01,5,10.26,35.27
6,10.01,45.11,2,9.84,,3,9.82,45.00,5,9.74,45.09,1,9.81,44.82,4,9.78,45.05
6,9.73,54.84,4,9.59,,1,9.21,54.21,3,9.42,54.51,2,9.58,54.40,5,9.62,54.67
6,9.39,1:04.23,4,9.48,,1,9.49,1:03.70,3,9.40,1:03.91,2,9.43,1:03.83,5,9.46,1:04.13
3,10.15,1:14.38,6,26.95,,1,9.77,1:13.47,5,25.59,1:29.50,2,9.76,1:13.59,4,20.66,1:24.79
3,10.05,1:24.43,6,21.21,,1,9.91,1:23.38,5,18.37,1:47.87,2,9.93,1:23.52,4,22.16,1:46.95
3,9.96,1:34.39,6,15.93,,1,9.95,1:33.33,0,,PHOTO,2,10.06,1:33.58,0,,PHOTO
