LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
1,6.731,6.731,3,6.943,6.943,2,6.834,6.834,4,6.945,6.945
1,9.261,15.991,3,9.270,16.212,2,9.191,16.024,4,9.273,16.218
2,9.028,25.018,4,8.922,25.134,1,8.823,24.846,3,8.915,25.133
2,9.032,34.050,3,9.019,34.153,1,9.110,33.956,4,9.182,34.315
0,,DQ,3,9.36,43.513,1,9.41,43.359,2,9.19,43.504
