Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
2,7.02,7.02,4,7.32,7.32,3,7.19,7.19,1,7.02,7.02
4,10.50,17.52,3,9.69,17.01,1,9.67,16.86,2,9.89,16.91
4,9.86,27.38,2,8.90,25.91,1,8.96,25.82,3,9.33,26.24
4,10.01,37.39,1,8.98,34.89,2,9.18,35.00,3,9.50,35.74
4,10.22,47.608,1,9.27,44.157,2,9.16,44.159,3,9.89,45.625
