Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,KIM Hanwool POSITION,KIM Hanwool LAP TIME,KIM Hanwool ELAPSED TIME
4,13.19,13.19,3,13.09,,5,13.25,13.25,2,13.02,13.02,1,12.89,
3,9.33,22.52,2,9.31,,4,9.40,22.65,5,9.77,22.79,1,9.35,
3,9.12,31.64,2,9.15,,4,9.11,31.76,5,9.13,31.92,1,9.23,
3,9.32,40.96,2,9.30,,4,9.26,41.02,5,9.19,41.11,1,9.29,
3,9.37,50.33,2,9.36,,4,9.40,50.42,5,9.41,50.52,1,9.35,
3,9.22,59.55,2,9.23,,4,9.24,59.66,5,9.25,59.77,1,9.25,
3,9.30,1:08.85,2,9.31,,5,9.34,1:09.00,4,9.22,1:08.99,1,9.29,
1,9.04,1:17.89,1,9.14,,5,9.37,1:18.37,4,9.04,1:18.03,3,9.28,
1,9.39,1:27.28,2,9.67,,5,9.57,1:27.94,4,9.67,1:27.70,3,9.65,
