PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Sofya BOYTSOVA POSITION,Sofya BOYTSOVA LAP TIME,Sofya BOYTSOVA ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME,VOLKOVITSKAYA Alyona POSITION,VOLKOVITSKAYA Alyona LAP TIME,VOLKOVITSKAYA Alyona ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME
2,7.72,7.72,1,7.54,7.54,3,7.90,,4,8.00,8.00,5,8.23,8.23
2,9.62,17.34,1,9.71,17.25,3,9.68,,4,9.77,17.77,5,9.98,18.21
1,9.10,26.44,1,9.19,26.44,3,9.07,,4,9.08,26.85,5,9.24,27.45
1,9.19,35.63,2,9.52,35.96,3,9.38,,4,9.28,36.13,5,9.47,36.92
1,9.56,45.19,5,25.22,1:01.18,3,10.12,,2,9.73,45.86,3,9.84,46.761
