Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
1,12.81,12.81,3,13.06,13.06,2,12.91,12.91,4,13.16,13.16
1,9.96,22.77,3,9.92,22.98,2,9.96,22.87,4,9.92,23.08
1,9.93,32.70,4,10.03,33.01,2,9.91,32.78,3,9.78,32.86
1,9.69,42.39,4,9.66,42.67,2,9.69,42.47,3,9.70,42.56
1,9.77,52.16,4,9.83,52.50,2,9.71,52.18,3,9.77,52.33
2,9.64,1:01.80,4,9.46,1:01.96,1,9.49,1:01.67,3,9.52,1:01.85
2,9.56,1:11.36,4,9.57,1:11.53,1,9.49,1:11.16,3,9.61,1:11.46
2,9.36,1:20.72,4,9.40,1:20.93,1,9.44,1:20.60,3,9.36,1:20.82
4,35.80,1:56.511,3,9.55,1:30.481,1,9.59,1:30.182,2,9.58,1:30.399
