ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,Danylo FEDORENKO POSITION,Danylo FEDORENKO LAP TIME,Danylo FEDORENKO ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME
1,13.05,13.05,4,13.36,13.36,3,13.23,13.23,5,13.46,13.46,2,13.12,,6,13.58,13.58
1,10.01,23.06,4,10.04,23.40,3,10.04,23.27,5,10.00,23.46,2,10.03,,6,10.00,23.58
2,9.77,32.83,4,9.68,33.08,1,9.47,32.74,5,9.71,33.17,3,9.78,,6,9.67,33.25
3,9.61,42.44,1,9.26,42.34,6,10.04,42.78,4,9.37,42.54,2,9.43,,5,9.34,42.59
2,9.38,51.82,1,9.41,51.75,5,9.39,52.17,4,9.53,52.07,3,9.60,,6,9.59,52.18
1,9.16,1:00.98,2,9.40,1:01.15,5,9.25,1:01.42,4,9.28,1:01.35,3,9.29,,6,9.37,1:01.55
1,9.06,1:10.04,2,9.13,1:10.28,4,9.09,1:10.51,5,9.27,1:10.62,3,9.23,,6,9.26,1:10.81
1,9.25,1:19.29,2,9.14,1:19.42,3,9.06,1:19.57,4,9.45,1:20.07,4,9.59,,6,9.55,1:20.36
1,9.60,1:28.89,3,9.55,1:28.974,0,9.37,1:28.94,4,9.85,1:29.924,5,10.19,,5,9.99,1:30.351
