Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
1,6.82,6.82,2,7.05,7.05,3,7.34,7.34,4,7.54,7.54
1,9.22,16.04,2,9.10,16.15,3,9.30,16.64,4,9.78,17.32
2,8.85,24.89,1,8.65,24.80,3,8.98,25.62,4,9.47,26.79
2,8.92,33.81,1,8.85,33.65,3,9.08,34.70,4,9.70,36.49
2,9.02,42.830,1,9.12,42.763,3,9.08,43.775,4,10.09,46.577
