Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
2,7.02,7.02,1,6.86,6.86,3,7.12,7.12,4,7.30,
2,8.94,15.96,1,9.00,15.86,3,8.91,16.03,4,8.74,
1,8.28,24.24,2,8.40,24.26,4,8.41,24.44,3,8.32,
1,8.62,32.86,1,8.60,32.86,4,8.67,33.11,3,8.62,
3,9.15,41.995,1,8.68,41.484,2,8.65,41.749,4,9.39,
