Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,LIU Xiao Ying POSITION,LIU Xiao Ying LAP TIME,LIU Xiao Ying ELAPSED TIME
3,20.214,20.214,2,20.204,20.204,4,20.394,20.394,1,20.176,20.176
1,15.032,35.246,2,15.098,35.302,4,15.074,35.467,3,15.191,35.367
3,11.764,47.010,2,11.519,46.821,1,11.098,46.565,4,11.655,47.022
4,10.620,57.630,2,10.633,57.453,1,10.812,57.376,3,10.585,57.606
4,9.840,1:07.469,2,9.816,1:07.268,1,9.638,1:07.014,3,9.853,1:07.459
3,9.600,1:17.069,2,9.704,1:16.972,1,9.761,1:16.774,4,9.647,1:17.106
3,9.559,1:26.628,2,9.629,1:26.601,1,9.613,1:26.387,4,9.601,1:26.707
3,9.895,1:36.522,4,9.933,1:36.534,1,9.765,1:36.152,2,9.733,1:36.439
4,10.20,1:46.713,3,10.08,1:46.614,2,10.36,1:46.503,1,9.74,1:46.171
