BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,Anastasia SURKOVA POSITION,Anastasia SURKOVA LAP TIME,Anastasia SURKOVA ELAPSED TIME,Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME,Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
2,15.04,15.04,5,15.30,15.30,3,15.16,15.16,1,14.90,14.90,4,15.23,15.23
2,10.93,25.97,5,11.03,26.33,4,11.03,26.19,3,11.18,26.08,1,10.68,25.91
3,11.34,37.31,5,11.19,37.52,1,10.77,36.96,4,11.36,37.44,2,11.27,37.18
2,10.29,47.60,3,10.20,47.72,1,10.54,47.50,5,10.48,47.92,4,10.62,47.80
2,9.99,57.59,3,9.99,57.71,1,9.98,57.48,5,10.00,57.92,4,9.99,57.79
2,9.81,1:07.40,3,9.77,1:07.48,1,9.82,1:07.30,5,9.93,1:07.85,4,9.81,1:07.60
2,9.79,1:17.19,3,9.85,1:17.33,1,9.75,1:17.05,5,10.01,1:17.86,4,9.84,1:17.44
4,10.11,1:27.30,3,9.91,1:27.24,1,9.81,1:26.86,5,10.41,1:28.27,2,9.73,1:27.17
4,10.35,1:37.65,3,9.89,1:37.13,1,10.03,1:36.89,5,10.98,1:39.25,2,9.77,1:36.94
