VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
2,13.91,13.91,3,13.98,13.98,4,14.12,14.12,1,13.81,13.81
2,11.39,25.30,3,11.45,25.43,4,11.51,25.63,1,11.40,25.21
3,10.88,36.18,1,10.39,35.82,4,10.73,36.36,2,10.85,36.06
3,9.91,46.09,1,10.04,45.86,4,9.89,46.25,2,9.81,45.87
3,9.52,55.61,2,9.67,55.53,4,9.47,55.72,1,9.56,55.43
3,9.75,1:05.36,2,9.73,1:05.26,4,9.77,1:05.49,1,9.74,1:05.17
3,9.78,1:15.14,2,9.74,1:15.00,4,9.79,1:15.28,1,9.68,1:14.85
3,9.40,1:24.54,2,9.34,1:24.34,4,9.31,1:24.59,1,9.33,1:24.18
3,9.45,1:33.983,2,9.28,1:33.618,4,9.91,1:34.499,1,9.37,1:33.542
