Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,12.81,12.81,2,12.97,12.97,4,13.19,13.19,3,13.08,13.08
1,9.76,22.57,2,9.70,22.67,3,9.52,22.71,4,9.65,22.73
1,9.84,32.41,2,9.84,32.51,3,9.81,32.52,4,9.87,32.60
1,9.32,41.73,4,9.34,41.85,3,9.30,41.82,2,9.19,41.79
1,9.41,51.14,3,9.41,51.26,4,9.55,51.37,2,9.36,51.15
4,9.38,1:00.52,1,8.94,1:00.20,3,9.05,1:00.42,2,9.17,1:00.32
4,9.44,1:09.96,1,9.14,1:09.34,3,9.33,1:09.75,2,9.24,1:09.56
4,9.21,1:19.17,1,9.16,1:18.50,3,9.26,1:19.01,2,9.06,1:18.62
3,9.32,1:28.485,1,9.24,1:27.733,4,9.63,1:28.633,2,9.24,1:27.858
