LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Matus SUROVEC POSITION,Matus SUROVEC LAP TIME,Matus SUROVEC ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,Artsiom PATUTKIN POSITION,Artsiom PATUTKIN LAP TIME,Artsiom PATUTKIN ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME
5,11.26,11.26,6,11.37,11.37,2,10.91,10.91,3,11.08,11.08,4,11.08,11.08,1,10.66,10.66
6,13.21,24.47,5,13.06,24.43,2,13.12,24.03,3,13.11,24.19,4,13.23,24.31,1,13.17,23.83
6,12.57,37.04,2,11.90,36.33,3,12.45,36.48,4,12.45,36.64,5,12.46,36.77,1,12.50,36.33
6,11.20,48.24,1,11.29,47.62,3,11.32,47.80,4,11.28,47.92,5,11.30,48.07,2,11.38,47.71
6,11.68,59.92,1,11.72,59.34,3,11.71,59.51,4,11.75,59.67,5,11.70,59.77,2,11.72,59.43
6,11.58,1:11.50,1,11.57,1:10.91,3,11.63,1:11.14,4,11.61,1:11.28,5,11.62,1:11.39,2,11.58,1:11.01
6,11.20,1:22.70,1,11.27,1:22.18,3,11.21,1:22.35,4,11.19,1:22.47,5,11.22,1:22.61,2,11.22,1:22.23
5,10.75,1:33.45,2,10.92,1:33.10,3,10.78,1:33.13,4,10.87,1:33.34,6,10.85,1:33.46,1,10.80,1:33.03
4,10.28,1:43.73,3,10.51,1:43.61,2,10.31,1:43.44,6,10.66,1:44.00,5,10.53,1:43.99,1,10.27,1:43.30
4,10.20,1:53.93,3,10.22,1:53.83,1,10.12,1:53.56,6,10.41,1:54.41,5,10.06,1:54.05,2,10.26,1:53.56
3,9.70,2:03.63,4,9.81,2:03.64,1,9.63,2:03.19,6,10.48,2:04.89,5,9.86,2:03.91,2,9.71,2:03.27
3,9.80,2:13.43,4,10.25,2:13.89,1,9.69,2:12.88,6,11.55,2:16.44,5,10.08,2:13.99,2,9.65,2:12.92
3,9.62,2:23.05,4,10.08,2:23.97,2,9.93,2:22.81,6,11.56,2:28.00,5,10.06,2:24.05,1,9.64,2:22.56
2,9.96,2:33.009,3,10.46,2:34.426,1,9.84,2:32.644,5,12.48,2:40.476,4,10.48,2:34.521,0,,PEN
