Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
1,13.22,13.22,3,13.43,13.43,5,13.55,13.55,2,13.35,13.35,4,13.54,13.54
2,10.74,23.96,3,10.63,24.06,4,10.66,24.21,1,10.50,23.85,5,10.81,24.35
1,10.35,34.31,3,10.46,34.52,4,10.44,34.65,2,10.48,34.33,5,10.43,34.78
1,10.26,44.57,3,10.25,44.77,4,10.22,44.87,2,10.35,44.68,5,10.17,44.95
1,9.86,54.43,2,9.69,54.46,4,9.83,54.70,3,9.89,54.57,5,9.90,54.85
1,9.25,1:03.68,2,9.30,1:03.76,4,9.33,1:04.03,3,9.34,1:03.91,5,9.55,1:04.40
2,9.09,1:12.77,1,8.88,1:12.64,4,9.10,1:13.13,3,9.06,1:12.97,5,9.44,1:13.84
2,8.89,1:21.66,1,8.85,1:21.49,4,9.10,1:22.23,3,9.18,1:22.15,5,9.85,1:23.69
2,9.14,1:30.795,1,9.10,1:30.581,3,9.35,1:31.577,4,9.58,1:31.727,5,10.37,1:34.051
