WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
1,6.83,6.83,2,7.03,7.03,3,7.21,7.21,4,7.33,7.33
1,8.72,15.55,2,8.73,15.76,3,8.85,16.06,4,8.92,16.25
1,8.35,23.90,2,8.33,24.09,3,8.16,24.22,4,8.35,24.60
1,8.38,32.28,3,8.60,32.69,2,8.30,32.52,4,8.42,33.02
1,8.63,40.91,4,33.22,1:05.91,2,8.69,41.21,3,8.85,41.87
