FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME
2,12.72,,1,12.61,12.61,3,12.82,12.82,4,12.91,12.91
2,9.67,,1,9.68,22.29,3,9.67,22.49,4,9.64,22.55
2,9.29,,1,9.29,31.58,3,9.43,31.92,4,9.52,32.07
2,9.07,,1,9.15,40.73,3,9.00,40.92,4,9.02,41.09
4,12.32,,1,9.58,50.31,2,9.47,50.39,3,9.31,50.40
4,9.62,,1,9.31,59.62,3,9.45,59.84,2,9.32,59.72
4,8.84,,1,9.39,1:09.01,3,9.33,1:09.17,2,9.39,1:09.11
4,8.81,,1,9.29,1:18.30,3,9.36,1:18.53,2,9.30,1:18.41
4,8.86,,1,9.22,1:27.52,3,9.22,1:27.75,2,9.27,1:27.68
4,8.76,,1,9.15,1:36.67,3,9.17,1:36.92,2,9.09,1:36.77
4,9.05,,1,9.32,1:45.99,3,9.27,1:46.19,2,9.31,1:46.08
4,9.12,,1,9.39,1:55.38,3,9.46,1:55.65,2,9.38,1:55.46
4,8.99,,1,9.38,2:04.76,3,9.33,2:04.98,2,9.36,2:04.82
4,9.16,,1,9.25,2:14.01,3,9.18,2:14.16,2,9.28,2:14.10
4,9.28,,1,9.28,2:23.29,3,9.28,2:23.44,2,9.25,2:23.35
4,9.35,,1,9.19,2:32.48,3,9.45,2:32.89,2,9.26,2:32.61
3,9.22,,1,9.39,2:41.87,4,9.67,2:42.56,2,9.35,2:41.96
3,9.37,,1,9.44,2:51.31,4,9.19,2:51.75,2,9.43,2:51.39
2,9.26,,1,9.32,3:00.63,4,9.17,3:00.92,3,9.38,3:00.77
2,9.33,,1,9.32,3:09.95,4,10.05,3:10.97,3,9.44,3:10.21
2,9.18,,1,9.26,3:19.21,4,9.30,3:20.27,3,9.16,3:19.37
2,9.39,,1,9.43,3:28.64,4,9.37,3:29.64,3,9.35,3:28.72
1,9.30,,4,17.99,3:46.63,3,10.16,3:39.80,2,9.64,3:38.36
1,9.44,,4,10.45,3:57.08,3,9.79,3:49.59,2,9.25,3:47.61
1,9.21,,4,10.14,4:07.22,3,9.88,3:59.47,2,9.12,3:56.73
1,9.13,,4,9.69,4:16.91,3,9.56,4:09.03,2,9.26,4:05.99
1,9.03,,3,9.72,4:26.632,2,9.51,4:18.545,1,9.06,4:15.052
