CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
3,8.50,8.50,1,8.38,8.38,2,8.47,8.47,4,8.59,8.59,6,8.74,8.74,5,8.65,8.65
3,11.35,19.85,2,11.35,19.73,1,11.20,19.67,4,11.46,20.06,5,11.37,20.12,0,,
5,10.97,30.83,3,10.97,30.71,4,11.07,30.74,2,10.62,30.69,6,10.81,30.94,1,0.00,30.46
5,10.47,41.30,3,10.40,41.12,6,10.57,41.31,1,10.07,40.76,4,10.32,41.26,2,10.56,41.03
5,10.24,51.55,3,10.23,51.35,4,10.05,51.37,1,10.32,51.08,6,10.33,51.60,2,10.27,51.30
5,10.75,1:02.30,4,10.92,1:02.27,2,10.58,1:01.96,1,10.84,1:01.93,6,10.77,1:02.38,3,10.75,1:02.05
4,10.25,1:12.55,6,30.26,1:32.54,2,10.30,1:12.26,1,10.13,1:12.07,5,10.20,1:12.59,3,10.36,1:12.42
2,10.30,1:22.85,6,30.26,2:02.81,5,12.71,1:24.98,1,10.60,1:22.68,3,10.50,1:23.09,4,11.64,1:24.06
3,10.84,1:33.70,6,15.41,2:18.22,5,9.03,1:34.02,1,10.67,1:33.35,4,10.68,1:33.77,2,9.63,1:33.70
2,10.52,1:44.23,6,13.17,2:31.40,5,10.52,1:44.55,1,10.75,1:44.11,4,10.61,1:44.39,3,10.59,1:44.29
2,10.09,1:54.32,6,10.87,2:42.28,5,10.96,1:55.51,1,10.16,1:54.28,4,10.23,1:54.63,3,10.17,1:54.47
1,9.84,2:04.17,6,10.97,2:53.25,5,11.55,2:07.07,2,10.18,2:04.46,4,10.04,2:04.67,3,10.17,2:04.64
1,9.95,2:14.13,6,10.64,3:03.90,5,12.44,2:19.51,3,10.29,2:14.75,2,9.73,2:14.41,4,10.31,2:14.95
2,10.28,2:24.410,5,11.26,3:15.155,0,,DQ,3,10.71,2:25.455,1,9.87,2:24.278,4,11.26,2:26.203
