Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
4,15.50,15.50,3,15.35,,1,15.23,15.23,5,15.66,15.66,2,15.27,15.27
4,11.16,26.66,2,11.13,,1,11.16,26.39,5,11.12,26.78,3,11.33,26.60
4,10.61,37.27,2,10.66,,1,10.67,37.06,5,10.57,37.35,3,10.57,37.17
4,10.01,47.28,3,10.05,,1,9.89,46.95,5,10.06,47.41,2,9.88,47.05
3,9.25,56.53,4,9.36,,1,9.45,56.40,5,9.33,56.74,2,9.39,56.44
3,9.32,1:05.85,4,9.41,,1,9.24,1:05.64,5,9.36,1:06.10,2,9.32,1:05.76
1,9.16,1:15.01,4,9.11,,2,9.40,1:15.04,5,9.20,1:15.30,3,9.29,1:15.05
3,9.52,1:24.53,1,9.24,,5,9.75,1:24.79,4,9.48,1:24.78,2,9.43,1:24.48
2,9.42,1:33.952,1,9.23,,4,10.07,1:34.860,3,9.73,1:34.511,1,9.27,1:33.752
