KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
1,9.57,9.57,3,9.69,9.69,6,10.01,10.01,4,9.77,,7,10.16,10.16,2,9.65,9.65,5,9.78,9.78
3,12.67,22.24,4,12.67,22.36,6,12.62,22.63,5,12.66,,7,12.58,22.74,1,12.33,21.98,2,12.33,22.11
4,11.76,34.00,1,11.16,33.52,6,11.66,34.29,5,11.71,,7,11.69,34.43,2,11.72,33.70,3,11.76,33.87
4,10.80,44.80,1,10.95,44.47,7,10.69,44.98,5,10.75,,6,10.51,44.94,2,10.90,44.60,3,10.82,44.69
5,10.31,55.11,3,10.41,54.88,6,10.18,55.16,7,10.29,,1,9.68,54.62,2,10.14,54.74,4,10.25,54.94
3,9.70,1:04.81,6,10.18,1:05.06,7,9.92,1:05.08,5,9.74,,1,9.98,1:04.60,2,9.96,1:04.70,4,9.97,1:04.91
4,9.80,1:14.61,7,10.08,1:15.14,3,9.44,1:14.52,6,9.92,,1,9.74,1:14.34,2,9.72,1:14.42,5,9.84,1:14.75
4,9.87,1:24.48,7,9.88,1:25.02,3,9.88,1:24.40,6,9.83,,1,9.86,1:24.20,2,9.88,1:24.30,5,9.85,1:24.60
4,9.98,1:34.46,7,9.99,1:35.01,3,10.05,1:34.45,5,9.90,,1,10.08,1:34.28,2,10.00,1:34.30,6,10.01,1:34.61
2,9.03,1:43.49,7,10.34,1:45.35,4,9.22,1:43.67,5,9.22,,3,9.34,1:43.62,1,9.10,1:43.40,6,9.43,1:44.04
2,9.00,1:52.49,7,10.77,1:56.12,3,8.95,1:52.62,5,9.08,,4,9.16,1:52.78,1,9.00,1:52.40,6,9.38,1:53.42
2,8.97,2:01.46,7,11.16,2:07.28,3,8.94,2:01.56,4,8.78,,5,9.08,2:01.86,1,8.97,2:01.37,6,9.69,2:03.11
2,9.08,2:10.54,7,11.23,2:18.51,3,9.11,2:10.67,4,9.07,,5,8.94,2:10.80,1,9.03,2:10.40,6,10.06,2:13.17
2,9.07,2:19.61,7,11.31,2:29.82,5,9.73,2:20.40,3,9.03,,4,9.15,2:19.95,1,9.16,2:19.56,6,10.62,2:23.79
