PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
4,9.37,9.37,5,9.51,9.51,2,9.24,9.24,1,9.12,9.12,3,9.27,9.27
2,12.42,21.79,1,12.18,21.69,5,12.89,22.13,3,12.80,21.92,4,12.76,22.03
2,10.84,32.63,1,10.74,32.43,5,10.84,32.97,3,10.81,32.73,4,10.82,32.85
3,10.94,43.57,1,10.91,43.34,5,10.83,43.80,2,10.72,43.45,4,10.84,43.69
3,10.86,54.43,1,10.87,54.21,5,10.85,54.65,2,10.86,54.31,4,10.82,54.51
3,10.38,1:04.81,1,10.39,1:04.60,4,10.28,1:04.93,2,10.39,1:04.70,5,10.56,1:05.07
3,10.13,1:14.94,1,10.17,1:14.77,4,10.14,1:15.07,2,10.08,1:14.78,5,10.13,1:15.20
2,9.82,1:24.76,3,10.02,1:24.79,4,9.89,1:24.96,1,9.92,1:24.70,5,9.86,1:25.06
2,10.02,1:34.78,4,10.09,1:34.88,3,9.91,1:34.87,1,10.01,1:34.71,5,9.98,1:35.04
2,10.18,1:44.96,4,10.40,1:45.28,3,10.28,1:45.15,1,10.21,1:44.92,5,10.34,1:45.38
1,9.77,1:54.73,4,9.79,1:55.07,3,9.78,1:54.93,2,9.88,1:54.80,5,9.80,1:55.18
1,9.88,2:04.61,4,9.86,2:04.93,3,9.82,2:04.75,2,9.91,2:04.71,5,9.76,2:04.94
1,9.75,2:14.36,4,9.76,2:14.69,2,9.71,2:14.46,3,9.89,2:14.60,5,9.85,2:14.79
1,9.93,2:24.285,5,10.29,2:24.974,2,9.89,2:24.345,3,10.08,2:24.680,4,9.89,2:24.680
