Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
1,7.14,7.14,2,7.34,7.34,4,7.65,7.65,3,7.49,7.49
1,9.44,16.58,2,9.35,16.69,4,9.40,17.05,3,9.31,16.80
2,9.01,25.59,1,8.87,25.56,4,8.93,25.98,3,8.93,25.73
2,9.08,34.67,1,8.97,34.53,4,9.09,35.07,3,9.01,34.74
2,9.41,44.080,1,9.22,43.741,4,9.43,44.494,3,9.37,44.105
