Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
5,10.94,10.94,3,10.88,10.88,2,10.75,10.75,6,11.07,11.07,1,10.69,10.69,4,10.90,10.90
5,14.65,25.59,4,14.66,25.54,6,14.89,25.64,2,14.37,25.44,3,14.75,25.44,1,14.36,25.26
1,12.48,38.07,2,12.58,38.12,6,13.01,38.65,4,12.86,38.30,5,13.02,38.46,3,12.92,38.18
1,11.39,49.46,2,11.44,49.56,6,11.35,50.00,4,11.44,49.74,5,11.37,49.83,3,11.48,49.66
1,11.73,1:01.19,2,11.76,1:01.32,6,11.87,1:01.87,4,11.72,1:01.46,5,11.90,1:01.73,3,11.78,1:01.44
1,11.11,1:12.30,2,11.07,1:12.39,6,11.01,1:12.88,3,11.02,1:12.48,5,11.05,1:12.78,4,11.19,1:12.63
1,10.93,1:23.23,3,10.96,1:23.35,6,10.81,1:23.69,4,10.93,1:23.41,5,10.78,1:23.56,2,10.72,1:23.35
5,10.34,1:33.57,2,10.02,1:33.37,6,10.08,1:33.77,3,10.03,1:33.44,4,10.00,1:33.56,1,9.93,1:33.28
6,10.32,1:43.89,2,10.06,1:43.43,5,10.01,1:43.78,1,9.89,1:43.33,4,10.05,1:43.61,3,10.16,1:43.44
6,9.62,1:53.51,2,9.68,1:53.11,4,9.56,1:53.34,1,9.68,1:53.01,3,9.59,1:53.20,5,9.92,1:53.36
6,9.60,2:03.11,3,9.50,2:02.61,4,9.44,2:02.78,1,9.50,2:02.51,2,9.35,2:02.55,5,9.54,2:02.90
6,9.70,2:12.81,3,9.14,2:11.75,4,9.00,2:11.78,2,9.05,2:11.56,1,8.83,2:11.38,5,9.00,2:11.90
6,10.32,2:23.13,5,9.24,2:20.99,3,9.02,2:20.80,2,9.00,2:20.56,1,8.90,2:20.28,4,9.05,2:20.95
6,10.96,2:34.081,5,9.73,2:30.714,3,8.97,2:29.771,2,9.16,2:29.713,1,9.22,2:29.497,4,9.41,2:30.353
