Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME
1,7.20,7.20,3,7.42,7.42,2,7.29,7.29
1,9.23,16.43,3,9.34,16.76,2,9.24,16.53
2,8.87,25.30,3,8.92,25.68,1,8.68,25.21
2,8.87,34.17,3,9.13,34.81,1,8.83,34.04
2,9.06,43.210,3,9.25,44.050,1,9.06,43.093
