Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
1,7.38,7.38,3,7.59,7.59,4,8.11,8.11,2,7.52,7.52
1,9.79,17.17,3,9.92,17.51,4,10.54,18.65,2,9.74,17.26
1,9.48,26.65,3,9.31,26.82,4,10.14,28.79,2,9.42,26.68
2,9.77,36.42,3,9.82,36.64,4,10.38,39.17,1,9.52,36.20
2,9.99,46.410,3,9.85,46.487,4,10.85,50.016,1,9.83,46.029
