PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME
3,14.06,14.06,4,14.14,14.14,1,13.99,13.99,2,14.00,14.00,5,14.18,14.18
1,9.60,23.66,4,10.05,24.19,2,9.81,23.80,3,10.06,24.06,5,10.16,24.34
1,9.58,33.24,4,9.44,33.63,2,9.54,33.34,3,9.42,33.48,5,9.36,33.70
1,9.56,42.80,4,9.45,43.08,2,9.52,42.86,3,9.46,42.94,5,9.48,43.18
1,9.35,52.15,4,9.50,52.58,2,9.43,52.29,3,9.47,52.41,5,9.59,52.77
1,9.15,1:01.30,4,9.04,1:01.62,2,9.11,1:01.40,3,9.08,1:01.49,5,9.44,1:02.21
2,9.09,1:10.39,4,9.05,1:10.67,3,9.17,1:10.57,1,8.90,1:10.39,5,9.53,1:11.74
2,9.13,1:19.52,4,9.06,1:19.73,3,9.06,1:19.63,1,8.99,1:19.38,5,9.67,1:21.41
2,9.32,1:28.835,4,9.35,1:29.076,3,9.33,1:28.958,1,9.36,1:28.733,5,9.84,1:31.246
