Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME
2,7.52,7.52,1,7.36,7.36,4,7.87,7.87,3,7.84,7.84
2,9.36,16.88,1,9.31,16.67,4,10.16,18.03,3,9.20,17.04
2,8.92,25.80,1,8.93,25.60,4,9.78,27.81,2,8.76,25.80
3,9.34,35.14,1,9.09,34.69,4,10.02,37.83,2,9.06,34.86
3,9.60,44.74,1,9.34,44.03,4,10.42,48.25,2,9.27,44.13
