Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
3,13.19,13.19,2,13.08,13.08,5,13.42,13.42,4,13.35,13.35,1,13.06,13.06
3,9.80,22.99,2,9.80,22.88,4,9.64,23.06,5,10.02,23.37,1,9.73,22.79
3,9.64,32.63,2,9.63,32.51,4,9.64,32.70,5,9.45,32.82,1,9.62,32.41
4,9.61,42.24,2,9.48,41.99,3,9.38,42.08,5,9.44,42.26,1,9.48,41.89
5,9.29,51.53,2,9.23,51.22,4,9.23,51.31,3,8.98,51.24,1,9.22,51.11
5,9.11,1:00.64,4,9.29,1:00.51,3,8.97,1:00.28,2,8.95,1:00.19,1,9.06,1:00.17
5,9.27,1:09.91,4,9.25,1:09.76,3,9.06,1:09.34,1,8.97,1:09.16,2,9.13,1:09.30
5,9.47,1:19.38,4,9.50,1:19.26,2,9.12,1:18.46,1,9.17,1:18.33,3,9.31,1:18.61
5,9.73,1:29.102,4,9.84,1:29.092,2,9.35,1:27.807,1,9.43,1:27.759,3,9.36,1:27.963
