Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
1,11.32,11.32,3,11.73,11.73,2,11.57,11.57,4,11.90,11.90,6,12.34,12.34,5,12.12,12.12
1,14.97,26.29,3,14.87,26.60,2,14.89,26.46,4,14.86,26.76,6,14.66,27.00,5,14.74,26.86
3,13.74,40.03,5,13.57,40.17,2,13.48,39.94,6,13.58,40.34,4,13.13,40.13,1,13.05,39.91
4,11.72,51.75,5,11.69,51.86,3,11.63,51.57,6,11.64,51.98,2,11.31,51.44,1,11.41,51.32
4,11.51,1:03.26,5,11.53,1:03.39,1,11.41,1:02.98,6,11.54,1:03.52,3,11.66,1:03.10,2,11.68,1:03.00
3,11.21,1:14.47,5,11.28,1:14.67,1,11.28,1:14.26,6,11.30,1:14.82,4,11.40,1:14.50,2,11.37,1:14.37
2,10.45,1:24.92,5,10.55,1:25.22,1,10.55,1:24.81,6,10.48,1:25.30,4,10.64,1:25.14,3,10.67,1:25.04
2,10.75,1:35.67,4,10.66,1:35.88,1,10.72,1:35.53,6,10.75,1:36.05,5,10.83,1:35.97,3,10.74,1:35.78
2,10.57,1:46.24,3,10.46,1:46.34,1,10.56,1:46.09,5,10.49,1:46.54,6,10.84,1:46.81,4,10.59,1:46.37
2,10.17,1:56.41,3,10.21,1:56.55,1,10.30,1:56.39,5,10.31,1:56.85,6,10.30,1:57.11,4,10.35,1:56.72
2,9.66,2:06.07,3,9.53,2:06.08,1,9.57,2:05.96,5,9.83,2:06.68,6,10.23,2:07.34,4,9.89,2:06.61
3,9.76,2:15.83,2,9.66,2:15.74,1,9.51,2:15.47,4,9.84,2:16.52,6,10.57,2:17.91,5,10.10,2:16.71
3,9.53,2:25.36,2,9.51,2:25.25,1,9.52,2:24.99,4,9.63,2:26.15,6,11.01,2:28.92,5,10.36,2:27.07
0,,PHOTO,0,,PHOTO,1,9.68,2:34.67,4,9.79,2:35.94,6,11.86,2:40.78,5,10.76,2:37.83
