Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.95,6.95,4,7.39,7.39,3,7.11,7.11,2,7.00,7.00
1,9.44,16.39,4,9.37,16.76,3,9.44,16.55,2,9.40,16.40
2,9.09,25.48,4,8.86,25.62,3,9.00,25.55,1,8.76,25.16
4,22.43,47.91,2,9.09,34.71,3,9.20,34.75,1,9.01,34.17
4,15.58,1:03.481,2,9.35,44.055,3,9.81,44.558,1,9.29,43.460
