Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME,Zuzana JURISOVA POSITION,Zuzana JURISOVA LAP TIME,Zuzana JURISOVA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
1,13.911,13.911,3,14.114,14.114,4,14.345,14.345,2,13.976,13.976
1,11.094,25.005,3,10.991,25.104,4,11.006,25.351,2,11.038,25.013
1,10.652,35.657,3,10.668,35.771,4,10.654,36.005,2,10.653,35.665
1,10.778,46.434,3,10.776,46.547,4,10.923,46.928,2,10.777,46.442
3,10.843,57.277,1,10.504,57.050,4,10.539,57.466,2,10.695,57.136
3,10.551,1:07.827,2,10.735,1:07.785,4,11.214,1:08.680,1,10.609,1:07.745
4,10.575,1:18.402,3,10.607,1:18.392,1,9.232,1:17.911,2,10.638,1:18.383
3,10.776,1:29.177,2,10.577,1:28.968,1,10.431,1:28.342,4,10.897,1:29.279
3,11.10,1:40.271,2,10.89,1:39.852,1,10.83,1:39.170,4,11.24,1:40.512
