Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME
3,8.87,8.87,5,9.25,9.25,6,9.36,9.36,2,8.64,8.64,4,9.04,9.04,1,8.40,8.40
2,10.38,19.25,5,10.55,19.80,6,10.53,19.89,3,10.63,19.27,4,10.48,19.52,1,10.76,19.16
2,11.15,30.40,5,10.90,30.70,6,10.92,30.81,3,11.21,30.48,4,11.05,30.57,1,11.10,30.26
2,12.05,42.45,5,12.15,42.85,6,12.11,42.92,3,12.09,42.57,4,12.11,42.68,1,12.08,42.34
2,12.20,54.65,5,12.21,55.06,6,12.24,55.16,3,12.23,54.80,4,12.23,54.91,1,12.15,54.49
2,11.67,1:06.32,5,11.68,1:06.74,6,11.72,1:06.88,3,11.63,1:06.43,4,11.67,1:06.58,1,11.72,1:06.21
2,11.29,1:17.61,4,11.06,1:17.80,6,11.11,1:17.99,3,11.19,1:17.62,4,11.22,1:17.80,1,11.29,1:17.50
4,10.48,1:28.09,2,9.95,1:27.75,6,10.36,1:28.35,3,10.25,1:27.87,5,10.44,1:28.24,1,10.22,1:27.72
4,9.85,1:37.94,1,9.86,1:37.61,6,9.79,1:38.14,3,9.92,1:37.79,5,9.84,1:38.08,2,9.96,1:37.68
5,10.17,1:48.11,1,10.09,1:47.70,4,9.82,1:47.96,3,10.15,1:47.94,6,10.17,1:48.25,2,10.11,1:47.79
5,10.12,1:58.23,1,9.78,1:57.48,2,9.63,1:57.59,4,9.87,1:57.81,6,10.13,1:58.38,2,9.80,1:57.59
5,10.39,2:08.62,1,9.59,2:07.07,3,9.89,2:07.48,4,9.95,2:07.76,6,10.33,2:08.71,2,9.87,2:07.46
6,10.83,2:19.45,1,9.73,2:16.80,2,9.78,2:17.26,4,9.83,2:17.59,5,10.54,2:19.25,3,9.91,2:17.37
6,11.16,2:30.616,1,9.89,2:26.69,2,9.88,2:27.14,4,9.96,2:27.557,5,10.70,2:29.959,3,9.90,2:27.27
