Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,7.04,7.04,3,7.07,7.07,1,6.90,6.90,4,7.24,7.24
2,9.09,16.13,3,9.15,16.22,1,9.08,15.98,4,9.12,16.36
2,8.66,24.79,3,8.72,24.94,1,8.80,24.78,4,8.62,24.98
1,8.88,33.67,2,8.81,33.75,3,9.03,33.81,4,9.03,34.01
2,9.25,42.912,1,8.95,42.700,3,9.20,43.007,4,9.08,43.088
