Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
1,12.47,12.47,2,12.55,12.55,3,12.70,12.70,4,12.83,12.83
2,9.94,22.41,3,9.96,22.51,1,9.61,22.31,4,9.83,22.66
2,9.88,32.29,3,9.87,32.38,1,9.88,32.19,4,9.82,32.48
3,9.99,42.28,4,9.99,42.37,1,9.90,42.09,2,9.70,42.18
4,9.93,52.21,3,9.66,52.03,1,9.77,51.86,2,9.69,51.87
3,9.09,1:01.30,4,9.27,1:01.30,1,9.25,1:01.11,2,9.33,1:01.20
3,9.36,1:10.66,4,9.50,1:10.80,2,9.46,1:10.57,1,9.33,1:10.53
3,9.31,1:19.97,4,9.47,1:20.27,2,9.34,1:19.91,1,9.30,1:19.83
1,9.23,1:29.198,4,9.64,1:29.907,2,9.43,1:29.334,3,9.64,1:29.461
