Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,12.47,12.47,3,12.76,12.76,2,12.64,12.64,4,12.93,12.93
1,9.76,22.23,3,9.64,22.40,2,9.66,22.30,4,9.61,22.54
2,9.56,31.79,3,9.47,31.87,1,9.29,31.59,4,9.43,31.97
2,9.40,41.19,3,9.42,41.29,1,9.47,41.06,4,9.43,41.40
2,9.44,50.63,3,9.35,50.64,1,9.44,50.50,4,9.37,50.77
4,9.33,59.96,1,8.82,59.46,2,9.08,59.58,3,8.93,59.70
4,9.34,1:09.30,1,8.64,1:08.10,2,8.89,1:08.47,3,8.92,1:08.62
4,9.66,1:18.96,1,8.76,1:16.86,3,9.33,1:17.80,2,8.94,1:17.56
4,9.76,1:28.715,1,9.10,1:25.958,3,10.10,1:27.899,2,9.02,1:26.578
