Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
3,8.45,8.45,2,8.31,8.31,5,9.22,9.22,4,8.90,8.90,1,8.30,8.30,6,9.39,9.39
4,11.43,19.88,1,11.33,19.64,5,10.90,20.12,3,10.93,19.83,2,11.46,19.76,6,10.93,20.32
5,10.95,30.83,2,10.93,30.57,4,10.67,30.79,1,10.68,30.51,3,10.98,30.74,6,10.81,31.13
5,11.23,42.06,2,11.21,41.78,3,11.09,41.88,1,11.16,41.67,4,11.24,41.98,6,11.08,42.21
5,11.00,53.06,4,11.13,52.91,3,11.00,52.88,2,11.19,52.86,1,10.76,52.74,6,11.03,53.24
4,10.13,1:03.19,5,10.36,1:03.27,3,10.24,1:03.12,2,10.17,1:03.03,1,10.16,1:02.90,6,10.34,1:03.58
4,9.94,1:13.13,5,9.95,1:13.22,3,9.84,1:12.96,2,9.82,1:12.85,1,9.85,1:12.75,6,9.78,1:13.36
4,9.85,1:22.98,5,9.84,1:23.06,3,9.94,1:22.90,2,9.97,1:22.82,1,9.96,1:22.71,6,9.84,1:23.20
4,9.61,1:32.59,5,9.68,1:32.74,2,9.46,1:32.36,3,9.69,1:32.51,1,9.56,1:32.27,6,9.65,1:32.85
3,9.09,1:41.68,5,9.08,1:41.82,2,9.13,1:41.49,4,9.30,1:41.81,1,9.15,1:41.42,6,9.14,1:41.99
3,8.95,1:50.63,6,9.63,1:51.45,2,9.06,1:50.55,5,9.06,1:50.87,1,9.05,1:50.47,4,8.80,1:50.79
4,9.39,2:00.02,6,9.77,2:01.22,2,9.34,1:59.89,5,9.46,2:00.33,1,9.36,1:59.83,3,9.12,1:59.91
2,9.30,2:09.32,6,9.80,2:11.02,3,9.53,2:09.42,4,9.52,2:09.85,5,10.11,2:09.94,1,9.07,2:08.98
2,9.45,2:18.771,6,9.86,2:20.877,3,9.47,2:18.885,4,9.92,2:19.766,5,10.58,2:20.516,1,9.09,2:18.062
