Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
4,13.68,13.68,2,13.51,13.51,1,13.40,13.40,3,13.54,13.54,5,13.80,13.80
4,10.63,24.31,2,10.56,24.07,1,10.64,24.04,3,10.61,24.15,5,10.57,24.37
4,9.52,33.83,1,9.48,33.55,2,9.59,33.63,3,9.58,33.73,5,9.48,33.85
3,9.54,43.37,2,9.72,43.27,1,9.55,43.18,4,9.69,43.42,5,9.63,43.48
3,9.51,52.88,2,9.52,52.79,1,9.52,52.70,5,9.74,53.16,4,9.59,53.07
3,9.39,1:02.27,2,9.40,1:02.19,1,9.39,1:02.09,5,9.35,1:02.51,4,9.34,1:02.41
3,9.20,1:11.47,1,9.11,1:11.30,2,9.23,1:11.32,4,9.06,1:11.57,5,9.30,1:11.71
3,9.20,1:20.67,1,9.11,1:20.41,2,9.20,1:20.52,4,9.18,1:20.75,5,9.19,1:20.90
3,9.19,1:29.853,1,9.24,1:29.642,2,9.19,1:29.701,4,9.24,1:29.983,5,9.33,1:30.227
