Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
3,13.02,13.02,4,13.10,13.10,1,12.83,12.83,2,12.98,12.98
4,9.86,22.88,1,9.50,22.60,3,9.91,22.74,2,9.66,22.64
4,9.98,32.86,1,9.40,32.00,3,9.51,32.25,2,9.45,32.09
4,9.36,42.22,1,9.43,41.43,3,9.37,41.62,2,9.43,41.52
4,8.85,51.07,1,9.25,50.68,2,9.16,50.78,3,9.40,50.92
4,9.16,1:00.23,1,9.15,59.83,2,9.15,59.93,3,9.09,1:00.01
4,9.36,1:09.59,1,9.07,1:08.90,2,9.04,1:08.97,3,9.10,1:09.11
4,10.15,1:19.74,1,9.15,1:18.05,2,9.21,1:18.18,3,9.16,1:18.27
4,13.12,1:32.859,1,9.27,1:27.315,2,9.29,1:27.469,3,9.33,1:27.594
