Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,12.16,12.16,4,12.33,12.33,3,12.23,12.23,1,12.01,12.01,5,12.42,12.42
2,9.22,21.38,4,9.14,21.47,1,9.02,21.25,3,9.45,21.46,5,9.30,21.72
2,9.52,30.90,5,19.97,41.44,1,9.57,30.82,3,9.54,31.00,4,9.41,31.13
1,9.27,40.17,5,10.55,51.99,2,9.47,40.29,3,9.40,40.40,4,9.43,40.56
1,9.13,49.30,5,9.95,1:01.94,2,9.10,49.39,3,9.16,49.56,4,9.01,49.57
2,9.09,58.39,5,9.71,1:11.65,1,8.97,58.36,4,9.08,58.64,3,8.95,58.52
4,9.39,1:07.78,5,9.91,1:21.56,1,9.12,1:07.48,2,9.00,1:07.64,3,9.18,1:07.70
4,9.06,1:16.84,5,10.38,1:31.94,1,8.94,1:16.42,2,8.99,1:16.63,3,9.04,1:16.74
3,8.78,1:25.613,5,11.07,1:43.002,1,9.03,1:25.446,2,8.88,1:25.509,4,9.40,1:26.140
