Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
3,12.53,12.53,4,12.65,12.65,2,12.42,12.42,1,12.28,12.28,5,12.74,12.74
3,9.85,22.38,4,9.85,22.50,2,9.85,22.27,1,9.86,22.14,5,9.88,22.62
3,9.78,32.16,4,9.80,32.30,2,9.74,32.01,1,9.75,31.89,5,9.78,32.40
3,9.62,41.78,4,9.60,41.90,2,9.64,41.65,1,9.66,41.55,5,9.59,41.99
3,9.45,51.23,4,9.47,51.37,2,9.48,51.13,1,9.48,51.03,5,9.47,51.46
3,9.35,1:00.58,4,9.35,1:00.72,2,9.35,1:00.48,1,9.35,1:00.38,5,9.36,1:00.82
2,8.95,1:09.53,4,9.09,1:09.81,3,9.23,1:09.71,1,9.11,1:09.49,5,9.14,1:09.96
1,8.71,1:18.24,3,8.74,1:18.55,4,9.09,1:18.80,2,8.90,1:18.39,5,8.95,1:18.91
1,8.81,1:27.043,3,8.70,1:27.235,4,9.08,1:27.866,2,8.70,1:27.088,5,9.16,1:28.062
