Vladimir KUZOVNIKOV POSITION,Vladimir KUZOVNIKOV LAP TIME,Vladimir KUZOVNIKOV ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME,YOU Dong-Kun POSITION,YOU Dong-Kun LAP TIME,YOU Dong-Kun ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME
1,6.87,6.87,2,7.09,7.09,3,7.18,7.18,4,7.68,7.68
1,9.12,15.99,2,9.03,16.13,3,9.28,16.46,4,9.78,17.46
1,8.94,24.94,2,8.87,25.00,3,8.67,25.13,4,9.99,27.46
1,8.95,33.89,3,9.08,34.09,2,8.80,33.94,4,9.77,37.23
4,21.28,55.166,2,9.75,43.840,1,9.28,43.215,3,9.92,47.150
