Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
2,9.59,9.59,3,9.72,9.72,4,9.86,9.86,1,9.49,9.49,5,9.97,9.97,6,10.09,10.09,7,10.16,10.16
1,12.23,21.82,4,12.27,21.99,4,12.13,21.99,2,12.36,21.85,3,11.90,21.87,6,12.08,22.17,7,12.14,22.30
2,10.51,32.33,6,10.89,32.88,4,10.66,32.65,3,10.62,32.47,1,10.35,32.22,5,10.62,32.79,7,10.69,32.99
2,10.72,43.05,6,10.52,43.40,3,10.50,43.15,4,10.71,43.18,1,10.73,42.95,5,10.50,43.29,7,10.55,43.54
1,10.81,53.86,7,10.92,54.32,3,10.75,53.90,5,10.98,54.16,2,10.92,53.87,4,10.77,54.06,6,10.76,54.30
1,10.52,1:04.38,7,10.44,1:04.76,2,10.56,1:04.46,5,10.48,1:04.64,3,10.71,1:04.58,4,10.57,1:04.63,6,10.44,1:04.74
2,10.23,1:14.61,4,9.99,1:14.75,1,10.05,1:14.51,6,10.43,1:15.07,3,10.14,1:14.72,5,10.16,1:14.79,7,10.35,1:15.09
2,9.88,1:24.49,3,9.84,1:24.59,1,9.88,1:24.39,7,10.19,1:25.26,4,9.98,1:24.70,5,9.97,1:24.76,6,9.86,1:24.95
2,10.15,1:34.64,3,10.18,1:34.77,1,10.16,1:34.55,7,10.14,1:35.40,4,10.19,1:34.89,5,10.22,1:34.98,6,10.10,1:35.05
2,10.30,1:44.94,3,10.29,1:45.06,1,10.28,1:44.83,7,10.47,1:45.87,4,10.27,1:45.16,5,10.25,1:45.23,6,10.26,1:45.31
2,10.15,1:55.09,4,10.22,1:55.28,1,10.22,1:55.05,7,10.91,1:56.78,5,10.21,1:55.37,3,9.99,1:55.22,6,10.21,1:55.52
2,10.10,2:05.19,5,10.53,2:05.81,1,9.91,2:04.96,7,11.71,2:08.49,4,9.94,2:05.31,3,10.00,2:05.22,6,10.36,2:05.88
2,10.09,2:15.28,5,10.86,2:16.67,1,10.24,2:15.20,7,12.07,2:20.56,3,10.17,2:15.48,4,10.54,2:15.76,6,10.81,2:16.69
6,34.97,2:50.25,2,11.02,2:27.69,7,41.03,2:56.23,4,12.06,2:32.62,5,24.75,2:40.23,1,10.88,2:26.64,3,11.08,2:27.77
