BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,6.88,6.88,2,6.98,6.98,4,7.38,7.38,3,7.14,7.14
1,8.91,15.79,2,8.96,15.94,4,9.02,16.40,3,8.83,15.97
1,8.50,24.29,3,8.71,24.65,4,8.59,24.99,2,8.41,24.38
2,8.82,33.11,3,8.70,33.35,4,8.66,33.65,1,8.57,32.95
2,8.91,42.02,3,8.82,42.17,4,8.89,42.54,1,8.76,41.71
