Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Angus McCULLOCH POSITION,Angus McCULLOCH LAP TIME,Angus McCULLOCH ELAPSED TIME,Ales GORECKI POSITION,Ales GORECKI LAP TIME,Ales GORECKI ELAPSED TIME,Pier-Olivier GAGNON POSITION,Pier-Olivier GAGNON LAP TIME,Pier-Olivier GAGNON ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME
5,10.06,10.06,6,10.29,10.29,1,9.78,9.78,4,10.01,10.01,3,10.00,10.00,2,9.92,9.92
5,13.00,23.06,6,12.95,23.24,3,13.07,22.85,4,12.95,22.96,2,12.81,22.81,1,12.87,22.79
2,11.48,34.54,6,11.61,34.85,5,11.77,34.62,4,11.65,34.61,3,11.73,34.54,1,11.63,34.42
1,10.89,45.43,6,11.11,45.96,5,11.21,45.83,2,10.86,45.47,4,11.11,45.65,3,11.10,45.52
2,10.63,56.06,6,10.45,56.41,5,10.43,56.26,1,10.52,55.99,3,10.52,56.17,4,10.69,56.21
2,11.19,1:07.25,6,11.26,1:07.67,5,11.33,1:07.59,1,11.20,1:07.19,3,11.21,1:07.38,4,11.27,1:07.48
2,11.19,1:18.44,6,11.26,1:18.93,3,10.87,1:18.46,1,11.23,1:18.42,5,11.33,1:18.71,4,11.22,1:18.70
3,10.11,1:28.55,6,10.17,1:29.10,4,10.10,1:28.56,1,10.01,1:28.43,2,9.83,1:28.54,5,9.99,1:28.69
2,10.06,1:38.61,6,10.14,1:39.24,5,10.40,1:38.96,1,10.07,1:38.50,3,10.20,1:38.74,4,10.17,1:38.86
2,9.67,1:48.28,6,10.03,1:49.27,5,9.62,1:48.58,1,9.68,1:48.18,3,9.64,1:48.38,4,9.62,1:48.48
2,10.09,1:58.37,6,10.43,1:59.70,3,9.91,1:58.49,1,10.06,1:58.24,4,10.19,1:58.57,5,10.17,1:58.65
2,10.00,2:08.37,6,10.67,2:10.37,3,9.98,2:08.47,1,10.03,2:08.27,5,10.10,2:08.67,4,10.01,2:08.66
2,10.17,2:18.54,6,11.08,2:21.45,3,10.18,2:18.65,1,10.16,2:18.43,5,10.30,2:18.97,4,10.11,2:18.77
2,10.03,2:28.565,6,11.04,2:32.490,3,10.01,2:28.657,1,10.08,2:28.502,5,10.28,2:29.243,4,9.94,2:28.703
