Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,LU Chia-Tung POSITION,LU Chia-Tung LAP TIME,LU Chia-Tung ELAPSED TIME,Evelien van KERCKVOORDE POSITION,Evelien van KERCKVOORDE LAP TIME,Evelien van KERCKVOORDE ELAPSED TIME,GONG Li POSITION,GONG Li LAP TIME,GONG Li ELAPSED TIME,Mikayla BIGGS POSITION,Mikayla BIGGS LAP TIME,Mikayla BIGGS ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Melissa TUNNO POSITION,Melissa TUNNO LAP TIME,Melissa TUNNO ELAPSED TIME
2,11.94,11.94,6,12.28,12.28,3,11.98,11.98,7,12.46,12.46,5,12.25,12.25,1,11.80,11.80,4,12.20,12.20
2,17.99,29.93,4,17.88,30.16,3,18.01,29.99,7,18.15,30.61,6,18.19,30.44,1,17.96,29.76,5,18.04,30.24
2,17.53,47.46,4,17.50,47.66,3,17.57,47.56,7,17.53,48.14,6,17.45,47.89,1,17.61,47.37,5,17.43,47.67
3,18.41,1:05.87,5,18.49,1:06.15,4,18.49,1:06.05,7,18.42,1:06.56,6,18.47,1:06.36,1,18.37,1:05.74,2,18.17,1:05.84
1,15.55,1:21.42,5,15.83,1:21.98,4,15.73,1:21.78,7,15.65,1:22.21,6,15.64,1:22.00,3,15.93,1:21.67,2,15.72,1:21.56
1,11.83,1:33.25,6,11.72,1:33.70,4,11.72,1:33.50,7,11.65,1:33.86,5,11.63,1:33.63,3,11.77,1:33.44,2,11.80,1:33.36
2,11.55,1:44.80,7,11.61,1:45.31,5,11.52,1:45.02,1,10.67,1:44.53,6,11.50,1:45.13,4,11.48,1:44.92,3,11.52,1:44.88
2,10.03,1:54.83,7,10.19,1:55.50,5,10.02,1:55.04,1,10.16,1:54.69,6,10.04,1:55.17,3,9.98,1:54.90,4,10.03,1:54.91
3,9.85,2:04.68,7,10.04,2:05.54,5,9.85,2:04.89,1,9.78,2:04.47,6,9.86,2:05.03,2,9.64,2:04.54,4,9.88,2:04.79
3,9.95,2:14.63,7,10.32,2:15.86,5,9.86,2:14.75,1,9.97,2:14.44,6,9.89,2:14.92,2,9.99,2:14.53,4,9.92,2:14.71
3,9.87,2:24.50,7,10.85,2:26.71,5,10.01,2:24.76,1,9.86,2:24.30,6,9.94,2:24.86,2,9.86,2:24.39,4,9.93,2:24.64
3,9.72,2:34.22,7,11.41,2:38.12,6,10.08,2:34.84,1,9.63,2:33.93,5,9.77,2:34.63,2,9.64,2:34.03,4,9.74,2:34.38
3,9.84,2:44.06,7,11.60,2:49.72,6,10.44,2:45.28,1,9.68,2:43.61,5,9.92,2:44.55,2,9.72,2:43.75,4,9.90,2:44.28
3,10.17,2:54.23,7,11.96,3:01.659,6,11.27,2:56.530,1,10.04,2:53.638,5,10.06,2:54.591,2,10.00,2:53.729,4,10.24,2:54.499
