Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
3,13.30,13.30,1,13.20,13.20,4,13.43,13.43,2,13.23,13.23
2,9.71,23.01,1,9.70,22.90,3,9.68,23.11,4,9.96,23.19
3,9.51,32.52,2,9.49,32.39,1,9.20,32.31,4,9.49,32.68
3,9.34,41.86,2,9.36,41.75,1,9.34,41.65,4,9.27,41.95
3,9.29,51.15,2,9.28,51.03,1,9.31,50.96,4,9.30,51.25
3,9.14,1:00.29,2,9.15,1:00.18,1,9.05,1:00.01,4,9.18,1:00.43
3,8.93,1:09.22,2,8.93,1:09.11,1,9.02,1:09.03,4,8.97,1:09.40
3,9.00,1:18.22,2,8.96,1:18.07,1,8.91,1:17.94,4,9.12,1:18.52
3,8.92,1:27.140,2,8.97,1:27.037,1,9.05,1:26.990,4,9.33,1:27.842
